"rownum","rid","string"
0,9728,"<fire>{Fire As Cold}"
1,9729,"<fire>{Fire As Cold}"
2,9730,"<fire>{Fire As Cold}"
3,9731,"<fire>{Fire As Lightning}"
4,9732,"<cold>{Cold as Fire}"
5,9733,"<cold>{Cold as Lightning}"
6,9734,"<lightning>{Lightning as Cold}"
7,9735,"<lightning>{Lightning as Fire}"
8,9741,"Power"
9,9740,"Frenzy"
10,9742,"Endurance"
11,3295,"Cold/Lightning"
12,3296,"Fire/Cold"
13,3294,"Fire/Lightning"
14,3291,"Fire/Lightning"
15,3292,"Cold/Lightning"
16,3293,"Fire/Cold"
17,23241,"Fire/Cold"
18,23242,"Fire/Lightning"
19,23243,"Cold/Lightning"
