"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
0,1101,0,338,[],[],8897,"",[],[],0,345,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
1,1103,0,338,[],[],8897,"",[],[],0,345,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
2,1105,0,338,[],[],8897,"",[],[],0,345,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
3,4224,0,338,[],[],8897,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
4,4231,0,338,[],[],8897,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
5,4238,0,338,[],[],8897,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
6,4238,1,338,[1230],[20],6683,"",[],[],0,345,[7666],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
7,6006,0,338,[],[],8897,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
8,6007,0,338,[],[],8897,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
9,6008,0,338,[],[],8897,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
10,6009,0,338,[],[],8897,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
11,472,0,498,[10559],[1],8834,"",[],[],0,487,[],4,"","","",[],"Stone Shot",0,[],150,0,[],[],[],[],[],""
12,472,1,498,[10559],[1],8861,1,[],[],0,487,[],4,"","","",[],"Stone Shot",56,[],0,0,[],[],[],[],[],""
13,472,2,498,[10559],[1],8872,1,"[175,318,4550]","[200,400,1]",0,487,[],0,"","","",[],"Stone Snipe",53,[],0,0,[],[],[],[],[],""
14,472,3,498,[10559],[1],8865,1,[1211],[200],0,487,[],0,"","","",[],"Stone Shot",52,[],0,0,[],[],[],[],[],""
15,2686,0,338,[],[],8897,"",[],[],0,345,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
16,2686,1,654,[],[],8853,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
17,2649,0,338,[],[],8897,"",[],[],0,345,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
18,2649,1,654,[],[],8853,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
19,2654,0,338,[],[],8897,"",[],[],0,345,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
20,2654,2,1931,[],[],8917,51,"[173,2503]","[4,10]",0,"",[1932],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
21,2654,3,1931,[],[],8919,51,"[3210,5755]","[20,-40]",0,"",[1932],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
22,2654,4,1931,[],[],8859,51,"[173,2503]","[0,5]",0,"",[1932],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
23,2689,0,338,[],[],8897,"",[],[],0,345,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
24,2689,2,1931,[],[],8917,51,"[173,2503]","[4,10]",0,"",[1932],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
25,2689,3,1931,[],[],8919,51,"[3210,5755]","[20,-40]",0,"",[1932],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
26,2689,4,1931,[],[],8859,51,"[173,2503]","[0,5]",0,"",[1932],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
27,2712,0,338,[],[],8897,"",[],[],0,345,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
28,2712,3,2018,[214],[8],8883,51,"[175,634,6156]","[50,-60,2]",0,"",[],0,"","","",[],"Fire Breath",62,[],0,0,[],[],[],[],[],""
29,2652,0,347,[],[],8897,"",[],[],0,"",[],0,"","","",[],"Fire Strike",0,[],0,0,[],[],[],[],[],""
30,2652,1,2810,[],[],8878,24,[],[],0,"",[],0,"","","",[],"Flamecrack",57,[],0,0,[],[],[],[],[],""
31,2652,2,1102,[],[],8880,32,[],[],0,"",[],0,"","","",[],"Raise Burning Bones",58,[],0,0,[],[],[],[],[],""
32,2652,3,1239,[],[],8874,32,"[1820,612,357]","[20,50,-2400]",0,"",[],0,"","","",[],"Fire Storm",55,[],0,0,[],[],[],[],[],""
33,2652,4,1239,[2155],[3],8925,32,[],[],0,"",[],0,"","","",[],"Conflagration",0,[],-40,0,[],[],[],[],[],""
34,1138,0,338,[],[],8897,"",[],[],0,345,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
