"rownum","ModsKey","i32","i32","i32"
0,21851,2,9,100
1,21852,10,14,100
2,21853,15,20,100
3,21861,21,30,50
4,21854,2,9,100
5,21855,10,14,100
6,21856,15,30,100
7,21767,15,30,10
8,21768,15,30,10
9,21769,15,30,10
10,21770,10,14,0
11,21771,15,30,0
12,21772,10,14,0
13,21773,15,30,0
14,21774,10,14,0
15,21775,15,30,0
16,21776,10,14,20
17,21777,15,30,20
18,21778,5,14,35
19,21779,15,30,35
20,21780,5,9,50
21,21781,10,15,50
22,21782,15,30,50
23,21783,2,9,25
24,21784,10,14,25
25,21785,15,20,25
26,21866,21,30,25
27,21786,5,9,25
28,21787,10,14,25
29,21788,15,30,25
30,21789,5,9,25
31,21790,10,14,25
32,21791,15,30,25
33,21792,2,9,25
34,21793,10,14,25
35,21794,15,20,25
36,21867,21,30,25
37,21795,5,9,25
38,21796,10,14,25
39,21797,15,30,25
40,21798,5,9,25
41,21799,10,14,25
42,21800,15,30,25
43,21801,2,9,25
44,21802,10,14,25
45,21803,15,20,25
46,21864,21,30,25
47,21804,5,9,25
48,21805,10,14,25
49,21806,15,30,25
50,21807,5,9,25
51,21808,10,14,25
52,21809,15,30,25
53,21810,2,9,25
54,21811,10,14,25
55,21812,15,20,25
56,21865,21,30,25
57,21813,10,14,25
58,21814,15,17,25
59,21815,15,30,25
60,21816,5,9,25
61,21817,10,14,25
62,21818,15,30,25
63,21819,2,9,25
64,21820,10,14,25
65,21821,15,20,25
66,21868,21,30,25
67,21822,10,14,25
68,21823,15,17,25
69,21824,18,30,25
70,21825,10,14,20
71,21826,15,30,20
72,21827,2,9,20
73,21828,10,14,20
74,21829,15,30,20
75,21830,10,14,10
76,21831,15,17,10
77,21832,15,30,10
78,21833,2,9,100
79,21834,10,14,100
80,21835,15,30,100
81,21836,10,14,25
82,21837,15,30,25
83,21838,10,14,25
84,21839,15,30,25
85,21840,10,14,25
86,21841,15,30,25
87,21842,10,14,0
88,21843,15,30,0
89,21844,10,14,10
90,21845,15,20,10
91,21863,21,30,10
92,21846,10,14,10
93,21847,15,30,10
94,21848,2,9,30
95,21849,10,14,30
96,21850,15,30,30
97,21857,2,9,40
98,21858,10,14,40
99,21859,15,20,40
100,21862,21,30,40
