"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,8580,111,"Essence Item",52571,[]
1,8581,131,"Currency Item",52259,[]
2,8582,151,"Unique Item",18701,[]
3,8583,121,"Map Item",22038,[]
4,8584,251,"Unique Map Item",6696,[]
5,8585,301,"Rare Abyss Item",41772,[]
6,8586,301,"Fragment Item",60390,[]
7,8587,301,"Scarab Item",32186,[]
8,8588,151,"Essence Item",23218,[]
9,8589,301,"Fossil Item",19642,[]
10,8590,221,"Expedition Item",40101,[]
11,8591,151,"Stacked Decks",34745,[]
12,8592,151,"Talisman Item",43064,[]
13,8593,161,"Enchanted Helmet",19352,[]
14,8594,1001,"6-Linked Armour Item",6078,[]
15,8595,141,"Currency Item",14134,[]
16,8596,1501,"League-specific Unique Item",4526,[]
17,8597,501,"Shaper or Elder Armour Item",61377,[]
18,8598,501,"Shaper or Elder Weapon Item",53204,[]
19,8599,701,"Shaper or Elder Trinket Item",61894,[]
20,8600,501,"Elder Map Item",39336,[]
21,8601,351,"Breach Item",43164,[]
22,8602,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,8603,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,8604,301,"Item",31223,[]
25,8605,121,"Quality Gem",16288,[]
26,8606,151,"Bestiary Item",28161,[]
27,8607,221,"Blight Item",19373,[]
28,8608,221,"Metamorph Item",62324,[]
29,8609,431,"Delirium Item",23535,[]
30,8610,111,"Essence Item",46750,[]
31,8611,131,"Currency Item",54300,[]
32,8612,151,"Unique Item",59184,[]
33,8613,121,"Map Item",43361,[]
34,8614,251,"Unique Map Item",37492,[]
35,8615,301,"Rare Abyss Item",2531,[]
36,8616,301,"Fragment Item",4173,[]
37,8617,301,"Scarab Item",25303,[]
38,8618,151,"Essence Item",31454,[]
39,8619,301,"Fossil Item",51101,[]
40,8620,221,"Expedition Item",41074,[]
41,8621,151,"Stacked Decks",47490,[]
42,8622,151,"Talisman Item",23793,[]
43,8623,161,"Enchanted Helmet",42868,[]
44,8624,1001,"6-Linked Armour Item",12755,[]
45,8625,141,"Currency Item",30048,[]
46,8626,1501,"League-specific Unique Item",32094,[]
47,8627,501,"Shaper or Elder Armour Item",38195,[]
48,8628,501,"Shaper or Elder Weapon Item",28068,[]
49,8629,701,"Shaper or Elder Trinket Item",52048,[]
50,8630,501,"Elder Map Item",56725,[]
51,8631,351,"Breach Item",39939,[]
52,8632,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,8633,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,8634,301,"Item",55071,[]
55,8635,121,"Quality Gem",43471,[]
56,8636,151,"Bestiary Item",58563,[]
57,8637,221,"Blight Item",24651,[]
58,8638,221,"Metamorph Item",65346,[]
59,8639,431,"Delirium Item",12740,[]
