"rownum","BetrayalJobsKey","Rank","CurrencyCount","Chance","Currency_SafehouseCraftingSpreeCurrenciesKeys","[rid]"
0,3,1,"[1,200,100,1,3,20,1]",20,"[0,1,2,3,4,5,6]",[]
1,3,2,"[1,200,100,1,3,20,1]",28,"[0,1,2,3,4,5,6]",[]
2,3,3,"[1,200,100,1,3,20,1]",36,"[0,1,2,3,4,5,6]",[]
3,3,4,"[1,200,100,1,3,20,1]",36,"[0,1,2,3,4,5,6]",[]
4,1,1,"[20,4,4,4,4,4,20,1]",20,"[7,12,12,12,12,12,4,6]","[35,41,50,37]"
5,1,2,"[20,4,4,4,4,4,20,1]",30,"[7,12,12,12,12,12,4,6]","[35,41,50,37]"
6,1,3,"[20,4,4,4,4,4,20,1]",40,"[7,12,12,12,12,12,4,6]","[35,41,50,37]"
7,1,4,"[20,4,4,4,4,4,20,1]",40,"[7,12,12,12,12,12,4,6]","[35,41,50,37]"
8,2,1,"[1,200,6,20,20,1]",16,"[8,9,4,5,10,6]",[]
9,2,2,"[1,200,6,20,20,1]",24,"[8,9,4,5,10,6]",[]
10,2,3,"[1,200,6,20,20,1]",32,"[8,9,4,5,10,6]",[]
11,2,4,"[1,200,6,20,20,1]",32,"[8,9,4,5,10,6]",[]
12,4,1,"[1,100,100,5,5,1]",20,"[8,11,4,5,10,6]",[]
13,4,2,"[1,100,100,5,5,1]",30,"[8,11,4,5,10,6]",[]
14,4,3,"[1,100,100,5,5,1]",40,"[8,11,4,5,10,6]",[]
15,4,4,"[1,100,100,5,5,1]",40,"[8,11,4,5,10,6]",[]
