"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1"
0,3618,[8544],"[8545,8721,8720,8725]","[8546,8637,8722,8724]",10,100,1000,"",136,[],[]
1,3619,[8547],"[8548,8721,8720,8725]","[8549,8635,8722,8724]",6,100,2500,"",136,[],[]
2,3620,[8550],"[8551,8721,8720,8725]","[8552,8637,8722,8724]",10,100,1000,3082,136,[],[]
3,3621,[8553],"[8554,8721,8720,8725]","[8555,8637,8722,8724]",10,100,1000,"",136,[],[]
4,3622,[8582],"[8583,8721,8720,8725]","[8584,8638,8722,8724]",30,100,500,"",136,[],[]
5,3623,[8595],"[8596,8721,8720,8725]","[8597,8637,8722,8724]",15,100,1000,"",8,[],[]
6,3624,"[8562,8563]","[8564,8721,8720,8725]","[8565,8637,8722,8724]",15,100,1000,1876,136,[],[]
7,3625,[8588],"[8589,8721,8720,8725]","[8590,8637,8722,8724]",6,100,1000,"",136,[],[]
8,3626,[8556],"[8557,8721,8720,8725]","[8558,8637,8722,8724]",20,100,1000,"",136,[],[]
9,3627,[8559],"[8560,8721,8720,8725]","[8561,8638,8722,8724]",30,100,500,280,136,[],[]
10,3628,[8566],"[8567,8721,8720,8725]","[8568,8635,8722,8724]",1,100,2500,"",136,[],[]
11,3629,[8569],"[8570,8721,8720,8725]","[8571,8635,8572,8722,8724]",1,100,2500,"",136,[],[]
12,3630,[],"[8573,8721,8720,8725]","[8574,8638,8722,8724]",60,100,1,"",136,[],[]
13,3631,[8575],"[8576,8721,8720,8725]","[8577,8638,8722,8724]",60,100,500,"",136,[],[]
14,3632,[8579],"[8580,8721,8720,8725]","[8581,8635,8722,8724]",1,100,2500,"",136,[],[]
15,3633,[8585],"[8586,8721,8720,8725]","[8587,8635,8722,8724]",6,100,2500,"",136,[],[]
16,3634,"[8591,8592]","[8593,8721,8720,8725]","[8594,8637,8722,8724]",20,100,1000,45,136,[],[]
17,3635,[8598],"[8599,8721,8720,8725]","[8600,8638,8722,8724]",40,100,500,"",10,[],[]
18,3636,[8604],"[8605,8721,8720,8725]","[8606,8637,8722,8724]",20,100,1000,"",136,[],[]
19,3637,[8607],"[8608,8721,8720,8725]","[8609,8635,8722,8724]",1,100,2500,"",136,[],[]
20,3638,[8611],"[8612,8721,8720,8725]","[8613,8637,8722,8724]",10,100,1000,"",136,[],[]
21,3639,[8614],"[8616,8721,8720,8725]","[8617,8615,8638,8722,8724]",40,100,500,"",136,[],[]
22,3642,[8618],"[8619,8721,8720,8725]","[8634,8620,8638,8722,8724]",1,100,0,"",136,[],[]
23,3640,[8621],"[8622,8721,8720,8725]","[8623,8636,8723,8724]",1,100,0,"",136,[],[]
24,3641,[8624],"[8625,8721,8720,8725]","[8626,8636,8723,8724]",1,100,0,"",136,[],[]
25,3643,[8627],"[8628,8721,8720,8725]","[8629,8635,8722,8724]",1,100,0,"",136,[],[]
26,3644,[8627],"[8628,8721,8720,8725]","[8630,8635,8722,8724]",1,100,0,"",136,[],[]
27,3645,[8627],"[8628,8721,8720,8725]","[8631,8635,8722,8724]",1,100,0,"",136,[],[]
28,3646,[8627],"[8628,8721,8720,8725]","[8632,8635,8722,8724]",1,100,0,"",136,[],[]
29,3647,[8627],"[8628,8721,8720,8725]","[8633,8635,8722,8724]",1,100,0,"",136,[],[]
30,3648,[19619],"[19620,8721,8720,8725]","[19621,8638,8722,8724]",68,100,0,3864,136,[],[]
31,3649,[19616],"[19617,8721,8720,8725]","[19618,8638,8722,8724]",68,100,0,"",136,[],[]
32,3650,[19622],"[19623,8721,8720,8725]","[19624,8638,8722,8724]",68,100,0,"",136,[],[]
33,7310,[],"[8567,8721,8720,8725]","[8568,8635,8722,8724]",1,100,0,"",136,[],[]
34,7311,[],"[8567,8721,8720,8725]","[8568,8635,8722,8724]",1,100,0,"",136,[],[]
35,7312,[],"[8567,8721,8720,8725]","[8568,8635,8722,8724]",1,100,0,"",136,[],[]
36,7313,[],"[8567,8721,8720,8725]","[8568,8635,8722,8724]",1,100,0,"",136,[],[]
37,7314,[],"[8567,8721,8720,8725]","[8568,8635,8722,8724]",1,100,0,"",136,[],[]
