"rownum","Mod","Categories","DestroyAchievements"
0,25060,[0],[]
1,25061,[0],[8128]
2,25062,[0],[8117]
3,25063,[0],[8129]
4,25064,[0],[8130]
5,25065,[0],[8125]
6,25066,[0],[8120]
7,25067,[0],[8122]
8,25068,[0],[8123]
9,25069,[0],[8124]
10,25070,[0],[8126]
11,25071,[1],[]
12,25072,[1],[8119]
13,25073,[1],[8118]
14,25074,[3],[]
15,25075,[0],[8127]
16,25076,[0],[8131]
17,25077,[0],[8132]
18,25078,[1],[8133]
19,25079,[0],[]
20,25080,[0],[]
21,25081,[0],[]
22,25082,[0],[8134]
23,25083,[0],[]
24,25084,[0],[8121]
25,25085,[0],[8135]
26,25086,[0],[8115]
27,25087,[0],[8114]
28,25088,[0],[8113]
29,25089,[0],[8116]
30,25090,[0],[8136]
31,25091,[0],[8137]
32,25092,[0],[8138]
33,25093,[0],[8139]
34,25094,[0],[8140]
35,25095,[0],[8141]
36,25096,[0],[8142]
37,25097,[0],[8143]
38,25098,[3],[]
39,25108,[3],[]
40,25107,[3],[]
41,25099,[0],[]
42,25100,[2],[]
43,25101,[0],[]
44,25102,[2],[]
45,25103,[0],[]
46,25104,[0],[]
47,25105,[0],[]
48,25106,[0],[]
49,25109,[0],[]
50,25110,[2],[]
51,25111,[0],[]
52,25112,[2],[]
53,25122,[1],[]
54,25123,[1],[]
55,25124,[1],[]
56,25125,[1],[]
57,25126,[2],[]
58,25127,[2],[]
59,25128,[2],[]
60,25129,[2],[]
61,25152,[1],[]
62,25130,[2],[]
63,25131,[2],[]
64,25132,[2],[]
65,25133,[1],[]
66,25134,[1],[]
67,25135,[1],[]
68,25153,[1],[]
69,25154,[1],[]
70,25155,[1],[]
71,25156,[1],[]
72,25157,[1],[]
73,25158,[1],[]
74,25159,[1],[]
75,25160,[1],[]
76,25161,[1],[]
77,25162,[1],[]
78,25146,[1],[]
79,25147,[1],[]
80,25149,[1],[]
81,25150,[1],[]
82,25148,[2],[]
83,25151,[2],[]
84,25163,[2],[]
85,25164,[2],[]
86,25165,[2],[]
87,25166,[2],[]
88,25167,[2],[]
89,25168,[2],[]
90,25169,[2],[]
91,25170,[2],[]
92,25171,[2],[]
93,25172,[2],[]
94,25173,[2],[]
95,25057,[0],[]
96,25059,[0],[]
97,25058,[0],[]
98,25023,[1],[]
99,25025,[1],[]
100,25027,[1],[]
101,25029,[1],[]
102,25031,[1],[]
103,25033,[1],[]
104,25035,[1],[]
105,25037,[1],[]
106,25039,[1],[]
107,25041,[1],[]
108,25043,[1],[]
109,25045,[1],[]
110,25047,[1],[]
111,25049,[1],[]
112,25051,[1],[]
113,25053,[1],[]
114,25055,[1],[]
115,25136,[1],[]
116,25138,[1],[]
117,25140,[1],[]
118,25142,[1],[]
119,25137,[2],[]
120,25139,[2],[]
121,25141,[2],[]
122,25143,[2],[]
123,25024,[2],[]
124,25026,[2],[]
125,25028,[2],[]
126,25030,[2],[]
127,25032,[2],[]
128,25034,[2],[]
129,25036,[2],[]
130,25038,[2],[]
131,25040,[2],[]
132,25042,[2],[]
133,25044,[2],[]
134,25046,[2],[]
135,25048,[2],[]
136,25050,[2],[]
137,25052,[2],[]
138,25054,[2],[]
139,25056,[2],[]
140,25144,[1],[]
141,25145,[2],[]
142,25113,[3],[]
143,25114,[0],[]
144,25115,[0],[]
145,25116,[0],[]
146,25117,[0],[]
147,25118,[3],[]
148,25119,[3],[]
149,25120,[0],[]
150,25121,[2],[]
