"rownum","Id","DisplayedName","Description","ActionType","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool","string","bool","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool","bool","[rid]","i32","AlternateSkillTargetingBehavioursKey","bool","AIFile","[rid]","bool","bool","bool","TransfigureBase"
0,"sweep","Sweep","Swings a two handed melee weapon in a circle, knocking back monsters around the character.",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19,27]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",22,1,"[4018,4267,4180,10513,18019,18020]","[24,478,433,185,720,2658]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
1,"sweep_alt_x","[DNT] SweepAltX","Swings a two handed melee weapon in a circle, knocking back monsters around the character.",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19,27]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",22,1,"[4018,4267,4180,10513,18019,18020]","[24,478,433,185,720,2658]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,0
2,"sweep_alt_y","[DNT] SweepAltY","Swings a two handed melee weapon in a circle, knocking back monsters around the character.",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,23,19,27]","[14,16,17,15,57]","Sometimes a good blade just isn't enough. With a mighty swing, a player wielding a staff, two-handed axe or mace smashes the skulls of many enemies surrounding them. The furious blow breaks armour and bone alike, even knocking foes back a substantial distance.","http://s3.amazonaws.com/pathofexile/image/skills/strength/sweep.jpg","","Sweep","",22,1,"[4018,4267,4180,10513,18019,18020]","[24,478,433,185,720,2658]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,0
3,"vaal_sweep","Vaal Sweep","Repeatedly swings a two handed melee weapon in a circle, knocking back monsters away from the character.",0,"Art/2DArt/SkillIcons/sweep.dds","[1,2]","[0,7,19,37,27]","[14,16,17,15,57]","","",1,"","",22,1,"[4018,4267,4180,10513,18019,18020]","[24,478,433,185,720,2658]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
4,"ground_slam","Ground Slam","The character slams the ground in front of them with a Staff, Mace or Sceptre, creating a wave that travels forward and damages enemies with an increased chance to stun.",1,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg","","GroundSlam","",22,1,"[3982,4167,5481,18018]","[24,433,8040,11449]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
5,"vaal_ground_slam","Vaal Ground Slam","The character slams the ground with a Staff, Mace or Sceptre, creating a wave that travels in all directions and damages enemies with an increased chance to stun.",2,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14]","[12,32,14,17,36,57]","","",1,"","",22,1,"[3982,4167,5481,18018]","[24,433,8040,11449]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
6,"distance_scaled_ground_slam","Ground Slam","Slams the ground in front of you, creating a wave that travels forward and damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.",3,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,11,16,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",22,1,"[3982,4167,5481,18018]","[24,433,8040,11449]",[],1,1,[3434],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
7,"distance_scaled_ground_slam_alt_x","Ground Slam of Earthshaking","Slams the ground in front of you, creating a wide wave that travels forward and damages enemies with an increased chance to stun. Requires a Two Handed Axe, Two Handed Mace, or Staff.",3,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[14,17,16,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",22,1,"[3982,4167,5481,18018]","[24,433,8040,11449]",[],1,1,[3434],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,6
8,"distance_scaled_ground_slam_alt_y","[DNT] GroundSlamAltY","Slams the ground in front of you, creating a wave that travels forward and damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.",3,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,23,19,91,14]","[12,32,14,17,11,16,36,57]","Raising a staff or two handed mace high above their head, the player slams it earthward with a crackling thud. The force of this blow sunders soil and rock, forking outward to stun and damage enemies that stand ahead. At greater levels of skill, the fissures from Ground Slam travel a long distance, causing tremendous harm to anything caught in their path.","http://s3.amazonaws.com/pathofexile/image/skills/strength/ground_slam.jpg",1,"DistanceScaledGroundSlam","",22,1,"[3982,4167,5481,18018]","[24,433,8040,11449]",[],1,1,[3434],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,6
9,"vaal_ground_slam_spiked","Vaal Ground Slam","Slams the ground in front of you, creating a wave that travels in all directions that damages enemies with an increased chance to stun. The wave deals more damage to closer enemies. Requires an Axe, Mace, Sceptre, Staff or Unarmed.",4,"Art/2DArt/SkillIcons/icongroundslam.dds","[1,2]","[0,7,19,37,91,14]","[12,32,14,17,11,16,36,57]","","",1,"VaalDistanceScaledGroundSlam","",22,1,"[3982,4167,5481,18018]","[24,433,8040,11449]",[],1,1,[],8,"","","","[2,18,29,10,11,16,17,19,26,28,14,15,35]","","",1,""
