"rownum","rid","rid","i32"
0,16325,16325,3
1,16326,16326,3
2,16322,16322,0
3,16323,16323,0
4,16324,16324,0
5,16327,16327,0
6,16328,216,0
7,16330,6192,0
8,16333,216,1
9,16334,216,2
10,16335,216,3
11,16336,11822,1
12,16254,11822,2
13,16337,172,1
14,16338,172,2
15,16339,16081,1
16,16340,16081,2
17,16352,16249,3
18,16350,16350,1
19,16351,16351,3
20,16312,16312,4
21,16313,16313,4
22,16314,16314,4
23,16343,16343,0
24,16344,16343,1
25,16345,16343,3
26,16347,16346,1
27,16348,16346,2
28,16349,16349,3
29,16341,16341,0
30,16342,16341,3
31,16329,16329,0
32,16331,16329,2
33,16332,16329,3
34,16255,16255,4
35,16354,16375,1
36,16355,16355,0
37,16353,16353,3
38,16356,16376,3
39,16364,16364,3
40,16365,16365,2
41,16366,16366,1
42,16367,16367,2
43,16368,16368,2
44,16396,16343,2
45,16403,16403,4
46,16402,16402,4
