"rownum","rid","[rid]"
0,326,"[1453,1454,1455,1456]"
1,327,"[1457,1458,1459]"
2,328,"[1460,1461,1462,1463]"
3,329,"[1464,1465,1466]"
4,330,"[1467,1468,1469]"
5,331,"[1470,1471]"
6,332,"[1472,1473]"
7,333,"[1474,1475]"
8,334,[1476]
9,335,[1477]
10,336,"[1478,1479]"
11,337,"[1480,1481]"
12,338,"[1482,1483,1484]"
13,339,"[1485,1486,1487]"
14,340,"[1488,1489]"
15,341,"[1490,1491]"
16,342,"[1492,1493]"
17,343,[1494]
18,344,"[1495,1496,1497,1498]"
19,345,"[1499,1500]"
20,346,"[1501,1502,1503]"
21,349,"[129,130,131,132,133,134,140,141,142,143,144,165,166,178,179,180,181,318,385,386,308,309,310,311,322,324,326,327,328,343,344,345]"
