"rownum","Id","[rid]","[rid]","[rid]","i32","bool","[i32]","i32","i32","i32","bool","string","[string]"
0,"MicrotransactionBreachHandOnKill","[2,3]",[],[],1,"","[50,100]",0,0,0,"","MicrotransactionRareUnique",[]
1,"MicrotransactionRareUnique","[2,3]",[],[],1,"",[],0,0,0,"","MicrotransactionRare",[]
2,"MicrotransactionRare",[2],[],[],1,"",[],0,0,0,"","MicrotransactionAllRarities",[]
3,"MicrotransactionAllRarities","[0,1,2,3]",[],[],1,"",[],0,0,0,"","MicrotransactionUnique",[]
4,"MicrotransactionUnique",[3],[],[],1,"",[],0,0,0,"","SandwraithMastodon",[]
5,"SandwraithMastodon","[0,1,2,3]",[],[],40,"",[],0,0,0,"","MicrotransactionCursedNormal20Percent",[]
6,"MicrotransactionCursedNormal20Percent",[0],[],[],1,"",[20],0,0,0,"","ˎ","[""ic""]"
7,"MicrotransactionCursedMagic",[1],[],[],1,"",[],0,0,0,"","ˎ","[""ic""]"
8,"MicrotransactionCursedRare",[2],[],[],1,"",[],0,0,0,"","ˎ","[""ic""]"
9,"MicrotransactionCursedUnique",[3],[],[],1,"",[],0,0,0,"","ˎ","[""ic""]"
