"rownum","ChestsKey","Weight","HeistAreasKey","HeistChestTypesKey"
0,1761,9999999,"[0,7,8]",0
1,1762,9999999,"[1,6]",0
2,1763,9999999,"[2,4]",0
3,1764,9999999,"[3,5]",0
4,1825,250,"[0,7,8]",1
5,1826,250,"[1,6]",1
6,1827,250,"[2,4]",1
7,1828,250,"[3,5]",1
8,1829,250,"[0,7,8]",1
9,1830,250,"[1,6]",1
10,1831,250,"[2,4]",1
11,1832,250,"[3,5]",1
12,1833,250,"[0,7,8]",1
13,1834,250,"[1,6]",1
14,1835,250,"[2,4]",1
15,1836,250,"[3,5]",1
16,1837,250,"[0,7,8]",1
17,1838,250,"[1,6]",1
18,1839,250,"[2,4]",1
19,1840,250,"[3,5]",1
20,1841,250,"[0,7,8]",1
21,1842,250,"[1,6]",1
22,1843,250,"[2,4]",1
23,1844,250,"[3,5]",1
24,1845,250,"[0,7,8]",1
25,1846,250,"[1,6]",1
26,1847,250,"[2,4]",1
27,1848,250,"[3,5]",1
28,1849,250,"[0,7,8]",1
29,1850,250,"[1,6]",1
30,1851,250,"[2,4]",1
31,1852,250,"[3,5]",1
32,1853,250,"[0,7,8]",1
33,1854,250,"[1,6]",1
34,1855,250,"[2,4]",1
35,1856,250,"[3,5]",1
36,1857,250,"[0,7,8]",1
37,1858,250,"[1,6]",1
38,1859,250,"[2,4]",1
39,1860,250,"[3,5]",1
40,1861,250,"[0,7,8]",1
41,1862,250,"[1,6]",1
42,1863,250,"[2,4]",1
43,1864,250,"[3,5]",1
44,1865,250,"[0,7,8]",1
45,1866,250,"[1,6]",1
46,1867,250,"[2,4]",1
47,1868,250,"[3,5]",1
48,1869,250,"[0,7,8]",1
49,1870,250,"[1,6]",1
50,1871,250,"[2,4]",1
51,1872,250,"[3,5]",1
52,1873,250,"[0,7,8]",1
53,1874,250,"[1,6]",1
54,1875,250,"[2,4]",1
55,1876,250,"[3,5]",1
56,1877,250,"[0,7,8]",1
57,1878,250,"[1,6]",1
58,1879,250,"[2,4]",1
59,1880,250,"[3,5]",1
60,1881,250,"[0,7,8]",1
61,1882,250,"[1,6]",1
62,1883,250,"[2,4]",1
63,1884,250,"[3,5]",1
64,1885,250,"[0,7,8]",1
65,1886,250,"[1,6]",1
66,1887,250,"[2,4]",1
67,1888,250,"[3,5]",1
68,1889,250,"[0,7,8]",1
69,1890,250,"[1,6]",1
70,1891,250,"[2,4]",1
71,1892,250,"[3,5]",1
72,1893,250,"[0,7,8]",1
73,1894,250,"[1,6]",1
74,1895,250,"[2,4]",1
75,1896,250,"[3,5]",1
76,1897,250,"[0,7,8]",1
77,1898,250,"[1,6]",1
78,1899,250,"[2,4]",1
79,1900,250,"[3,5]",1
80,1901,250,"[0,7,8]",1
81,1902,250,"[1,6]",1
82,1903,250,"[2,4]",1
83,1904,250,"[3,5]",1
84,1905,250,"[0,7,8]",1
85,1906,250,"[1,6]",1
86,1907,250,"[2,4]",1
87,1908,250,"[3,5]",1
88,1909,250,"[0,7,8]",1
89,1910,250,"[1,6]",1
90,1911,250,"[2,4]",1
91,1912,250,"[3,5]",1
92,1913,250,"[0,7,8]",1
93,1914,250,"[1,6]",1
94,1915,250,"[2,4]",1
95,1916,250,"[3,5]",1
96,1917,250,"[0,7,8]",1
97,1918,250,"[1,6]",1
98,1919,250,"[2,4]",1
99,1920,250,"[3,5]",1
100,1921,250,"[0,7,8]",1
101,1922,250,"[1,6]",1
102,1923,250,"[2,4]",1
103,1924,250,"[3,5]",1
104,1925,250,"[0,7,8]",1
105,1926,250,"[1,6]",1
106,1927,250,"[2,4]",1
107,1928,250,"[3,5]",1
108,1929,250,"[0,7,8]",1
109,1930,250,"[1,6]",1
110,1931,250,"[2,4]",1
111,1932,250,"[3,5]",1
112,1933,250,"[0,7,8]",1
113,1934,250,"[1,6]",1
114,1935,250,"[2,4]",1
115,1936,250,"[3,5]",1
116,1937,250,"[0,7,8]",1
117,1938,250,"[1,6]",1
118,1939,250,"[2,4]",1
119,1940,250,"[3,5]",1
120,1941,250,"[0,7,8]",1
121,1942,250,"[1,6]",1
122,1943,250,"[2,4]",1
123,1944,250,"[3,5]",1
124,1945,250,"[0,7,8]",1
125,1946,250,"[1,6]",1
126,1947,250,"[2,4]",1
127,1948,250,"[3,5]",1
128,1949,250,"[0,7,8]",1
129,1950,250,"[1,6]",1
130,1951,250,"[2,4]",1
131,1952,250,"[3,5]",1
132,1953,250,"[0,7,8]",1
133,1954,250,"[1,6]",1
134,1955,250,"[2,4]",1
135,1956,250,"[3,5]",1
136,1957,250,"[0,7,8]",1
137,1958,250,"[1,6]",1
138,1959,250,"[2,4]",1
139,1960,250,"[3,5]",1
140,1961,250,"[0,7,8]",1
141,1962,250,"[1,6]",1
142,1963,250,"[2,4]",1
143,1964,250,"[3,5]",1
144,1965,250,"[0,7,8]",1
145,1966,250,"[1,6]",1
146,1967,250,"[2,4]",1
